# population        netlogo-parsing     netlogo-jvm     hlogo1      hlogo2cores4threads
1000                2.1                 0.6             1.3         0.7
2500                3                   1.5             3.4         1.6
5000                4.9                 3.4             7.1         3.1
10000               8.9                 7.4             14.3        6.2
20000               17.5                16              28.4        12.3
30000               27.3                25.8            42.9        18.1                 
